acceleration,acceleration
accurately,accurately
actioned,actioned
actuals,actuals
adaptation,adaptation
adapted,adaptation
additional,additional
addressed,addressed
advisory,advisories
ah,ah
ai,ai
air,air
alarm,alarm
alarms,alarm
alert,alert
alerting,alert
alerts,alert
alias,alias
ambient,ambient
ammonia,ammonia
analyzer,analyzer
antisurge,antisurge
ao,ao
aph,aph
asset,asset
assets,asset
attemp,attemperator
attemperator,attemperator
average,average
avg,average
axial,axial
backpressure,backpressure
bank,bank
baseline,baseline
baseload,baseload
bdm,bdm
bearing,bearing
bearings,bearing
bfp,bfp
bias,bias
bleed,bleed
blowdown,blowdown
bo,bo
boiler,boiler
booster,booster
bp,bp
brg,bearing
btgj,btgj
btj,btj
buffer,buffer
burner,burner
calibration,calibration
casing,casing
cat,cat
cation,cation
center,center
ch,ch
chart,chart
charts,chart
chiller,chiller
circ,circ
cleared,cleared
close,close
closed,close
closely,close
closing,close
cmm,cmm
co,co
coal,coal
cold,cold
collector,collector
combustion,combustion
combustor,combustor
command,command
comp,comp
compressor,compressor
concentration,concentration
cond,cond
condensate,condensate
condenser,condensate
condition,condition
conditions,condition
conductivity,conductivity
consistently,consistently
content,content
continues,continues
continuing,continues
control,control
controller,control
coolant,coolant
cooler,cooler
cooling,cooling
core,core
correct,correct
correctly,correct
correlate,correlate
correlates,correlate
correspond,correspond
counts,counts
coupling,coupling
ctg,ctg
ctrl,control
current,current
curtailed,curtailed
curtailment,curtailed
cv,cv
cw,cw
cycle,cycle
cycling,cycle
cyl,cylinder
cylinder,cylinder
cylinders,cylinder
damper,damper
data,data
datafeed,datafeed
dates,dates
day,day
de,de
decrease,decrease
decreased,decrease
decreases,decrease
decreasing,decrease
delivery,delivery
delta,delta
demand,demand
desup,desuperheater
desuperheater,desuperheater
detector,detector
detectors,detector
deviate,deviate
deviated,deviate
deviating,deviate
deviation,deviate
deviations,deviate
diff,difference
differential,differential
disc,disc
disch,discharge
discharge,discharge
displacement,displacement
displaying,displaying
dissolved,dissolved
dmd,dmd
downward,downward
dp,dp
drain,drain
drive,drive
driver,driver
dropped,dropped
dropping,dropped
drum,drum
dsh,dsh
duct,duct
econ,econ
economizer,economizer
efficiency,efficiency
electrical,electrical
elevated,elevated
engine,engine
erratic,erratic
erratically,erratic
estimate,estimate
estimated,estimate
estimates,estimate
exceeded,exceeded
exceeding,exceeded
exciter,exciter
exh,exhaust
exhaust,exhaust
exhibited,exhibited
exhibiting,exhibited
fan,fan
fans,fan
faulted,faulted
fd,fd
february,february
feed,feed
feedwater,feedwater
fi,fi
filter,filter
firing,firing
fixed,fixed
flame,flame
flat,flat
flatline,flatline
flatlined,flatline
flatlines,flatline
flatlining,flatline
flow,flow
flows,flow
fluctuate,fluctuate
fluctuating,fluctuate
fluctuations,fluctuate
flue,flue
fluid,fluid
fo,fo
fr,fr
frequently,frequently
fuel,fuel
fw,fw
fwh,fwh
fwp,fw pump
gas,gas
gb,gb
gear,gear
gearbox,gearbox
geip,geip
gen,generator
generator,generator
gg,gg
gradually,gradual
gross,gross
gt,gt
heat,heat
heater,heater
heating,heat
hg,hg
historical,historical
historically,historical
ho,ho
horizontal,horizontal
hot,hot
hotter,hotter
hottest,hottest
hotwell,hotwell
hp,hp
hpt,hpt
hrsg,hrsg
hrsgs,hrsgs
hs,hs
ht,ht
htr,htr
hydraulic,hydraulic
hydrogen,hydrogen
ib,ib
igv,igv
improved,improved
ims,ims
inactive,inactive
inboard,inboard
incidents,incidents
increase,increase
increases,increase
increasing,increase
industrial,industrial
inh,inh
inho,inho
injection,injection
inlet,inlet
inline,inline
inner,inner
instances,instances
instrument,instrument
instrumentation,instrument
intermittent,intermittent
intermittently,intermittent
interstage,interstage
ip,ip
issue,issue
issues,issue
itl,itl
jacket,jacket
journal,journal
lagging,lagging
late,late
lb,lb
leak,leak
lined,lined
liquid,liquid
lo,lo
load,load
loss,loss
low,low
lower,lower
lp,lp
lube,lube
lvl,level
machine,machine
magnitude,magnitude
mass,mass
max,maximum
mech,mechanical
mechanical,mechanical
metal,metal
mill,mill
mills,mill
model,model
models,model
monitor,monitor
monitoring,monitor
motor,motor
mt,motor
mtl,metal
mtr,motor
nan,nan
nans,nan
nde,nde
notification,notification
nox,nox
ob,ob
observed,observed
occasionally,occasionally
occured,occured
occurring,occured
oil,oil
ongoing,ongoing
op,op
operational,operational
oscillating,oscillating
outboard,outboard
outer,outer
outlet,outlet
par,par
pattern,pattern
pdi,pdi
peak,peak
peaked,peak
peaks,peak
perf,performance
performance,performance
periodically,periodically
periods,periodically
persist,persist
persisted,persist
persists,persist
ph,ph
phase,phase
pi,pi
piston,piston
pmp,pump
poor,poor
poorly,poor
pos,position
position,position
positions,position
positive,position
post,post
posted,post
power,power
prc,prc
predicted,predicted
prediction,predicted
predictions,predicted
prefilter,prefilter
preheater,preheater
press,pressure
pressure,pressure
pressures,pressure
pretty,pretty
priority,priority
probe,probe
probes,probe
process,process
producing,producing
projected,projected
prox,prox
pump,pump
pumps,pump
purity,purity
pv,pv
radial,radial
ramp,ramp
range,range
ranged,range
ranges,range
ranging,range
rapid,rapid
rapidly,rapid
rd,rd
reaches,reaches
reaching,reaches
read,read
reading,read
readings,read
reads,read
rear,rear
recirc,recirc
recovered,recovered
recycle,recycle
rel,rel
relatively,relatively
remained,remained
removed,removed
repaired,repair
reporting,reporting
residual,residual
residuals,residual
resolve,resolve
restart,restart
restarted,restart
returns,returns
rh,rh
rising,rising
rose,rose
rot,rot
rotor,rotor
rtd,rtd
run,run
sample,sample
sat,sat
seal,seal
seis,seismic
sensor,sensor
sensors,sensor
servo,servo
sh,sh
shaft,shaft
shell,shell
shield,shield
shifted,shifted
shifts,shifted
short,short
siemens,siemens
signal,signal
silica,silica
slight,slight
slowly,slowly
smartsignal,smartsignal
sodium,sodium
sp,sp
spec,spec
speed,speed
spike,spike
spiked,spike
spikes,spike
spiking,spike
spray,spray
spread,spread
spreads,spread
ssc,ssc
st,st
stack,stack
start,start
starts,start
startup,startup
startups,startup
stator,stator
steadily,steadily
steady,steady
steam,steam
step,step
stepped,step
stepping,step
stg,stage
stm,stm
stopped,stopped
strainer,strainer
street,street
stripe,stripe
strut,strut
suction,suction
sump,sump
superheater,superheater
swinging,swinging
tag,tag
tags,tag
tank,tank
tc,thermocouple
temp,temperature
temperature,temperature
temps,temperature
th,th
thermocouple,thermocouple
thermocouples,thermocouple
threshold,threshold
throughout,throughout
thrust,thrust
ti,ti
tia,tia
timeframe,timeframe
tmp,temperature
tower,tower
towers,tower
traced,traced
track,track
tracked,track
tracking,track
tracks,track
train,train
trained,train
transmitter,transmitter
transmitters,transmitter
trend,trend
trended,trend
trending,trend
trip,trip
truck,truck
tt,tt
ttwsao,ttwsao
ttxd,ttxd
tube,tube
turb,turbine
turbine,turbine
turbines,turbine
unchanged,unchanged
unit,unit
upward,upward
values,values
valve,valve
valves,valve
variable,variable
varying,varying
vent,vent
versus,versus
vib,vibration
vibe,vibe
vibes,vibe
vibration,vibration
vibrations,vibration
vibs,vibration
vlv,valve
voltage,volts
water,water
waterbox,waterbox
wheel,wheel
wheelspace,wheelspace
wind,wind
winding,wind
wsao,wsao
wtr,water
xmtr,xmtr
xq,xq
cp,cp
cep,cep
agb,agb
vert,vertical
magnetic,magnetic
smart,smart
unstable,unstable
acoustic,acoustic
gradual,gradual
rr,rr
vertical,vertical
reliable,reliable
apparent,apparent
fwpb,fwpb
gec,gec
castellon,castellon
notable,notable
upset,upset
gtdl,gtdl
chip,chip
packing,packing
alternator,alternator
expander,expander
separator,separator
amplitude,amplitude
scrubber,scrubber
tunnel,tunnel
scanner,scanner
transducer,transducer
velocity,velocity
fpt,fpt
fp,fp
intercooler,intercooler
scavenge,scavenge
pulv,pulverizer
cst,cst
gaphoss,gaphoss
lcv,lcv
angle,angle
reservoir,reservoir
rule,rule
bd,bd
inbrd,inbrd
srv,srv
turbo,turbo
cdt,cdt
enclosure,enclosure
intensity,intensity
oxygen,oxygen
bed,bed
charge,charge
device,device
fcv,fcv
cell,cell
filters,filter
mark,mark
nacelle,nacelle
pulverizer,pulverizer
teg,teg
vacuum,vacuum
bst,bst
cut,cut
fairly,fairly
horiz,horizontal
para,para
pc,pc
reheat,reheat
thresholds,threshold
trucks,truck
box,box
brgx,bearing
downwards,downward
fwpa,fwpa
nearly,nearly
plant,plant
server,server
brgy,bearing
comb,comb
egt,egt
health,health
reactive,reactive
reboiler,reboiler
repair,repair
setpoint,setpoint
tcaphoss,tcaphoss
upwards,upward
advisories,advisories
barrel,barrel
beds,bed
exchanger,exchanger
export,export
instruments,instrument
investigation,investigation
loop,loop
pri,pri
scr,scr
seals,seal
model estimate,model estimate
bearing temp,bearing temperature
thrust bearing,thrust bearing
bearing temperature,bearing temperature
lube oil,lube oil
bearing metal,bearing metal
hp drum,hp drum
valve position,valve position
bearing vibrations,bearing vibration
ip drum,ip drum
metal temp,metal temperature
axial position,axial position
model prediction,model predicted
generator bearing,generator bearing
fuel gas,fuel gas
control valve,control valve
outlet temp,outlet temperature
model estimates,model estimate
brg vib,bearing vibration
metal temperature,metal temperature
filter dp,filter dp
bearing vibration,bearing vibration
exhaust temp,exhaust temperature
brg temp,bearing temperature
condition persists,condition persist
gen bearing,generator bearing
model predictions,model predicted
lp drum,lp drum
outlet temperature,outlet temperature
mtl temp,metal temperature
bearing temps,bearing temperature
exhaust spread,exhaust spread
drain temp,drain temperature
model predicted,model predicted
issue persists,issue persist
ambient temperature,ambient temperature
thrust brg,thrust bearing
duct burner,duct burner
brg mtl,bearing metal
motor current,motor current
steam flow,steam flow
unit start,unit start
differential pressure,differential pressure
exhaust tc,exhaust thermocouple
inlet pressure,inlet pressure
nde bearing,nde bearing
unit run,unit run
inlet temp,inlet temperature
discharge pressure,discharge pressure
drum ph,drum ph
ob bearing,ob bearing
oil pressure,oil pressure
performance tag,performance tag
turbine bearing,turbine bearing
gross load,gross load
de bearing,de bearing
motor stator,motor stator
model performance,model performance
oil drain,oil drain
temp decreased,temperature decrease
drum fw,drum fw
fw flow,fw flow
hydrogen purity,hydrogen purity
ip steam,ip steam
ib bearing,ib bearing
vibration sensor,vibration sensor
exhaust temperature,exhaust temperature
oil temperature,oil temperature
compressor inlet,compressor inlet
oil filter,oil filter
stator temp,stator temperature
suction temperature,suction temperature
de seal,de seal
gradually increasing,gradual increase
ob brg,ob bearing
journal bearing,journal bearing
discharge temperature,discharge temperature
ib brg,ib bearing
gas flow,gas flow
reporting values,reporting values
oil temp,oil temperature
thrust position,thrust position
lp steam,lp steam
ao temp,ao temperature
hp steam,hp steam
ammonia flow,ammonia flow
inactive thrust,inactive thrust
low load,low load
seal outlet,seal outlet
mechanical tag,mechanical tag
nde seal,nde seal
gas temp,gas temperature
